,abs_corr_with_log_shares
n_comments,0.3272183366826566
kw_avg_avg,0.21919349922600642
kw_min_avg,0.10838573671393659
kw_max_avg,0.10668749102589978
num_hrefs,0.10438699616352311
num_imgs,0.0911146594301069
self_reference_avg_shares,0.08768136560946119
self_reference_max_shares,0.07855241232350693
self_reference_min_shares,0.07430726379858103
num_keywords,0.06681983661973677
kw_avg_max,0.05762849489545596
n_non_stop_unique_tokens,0.0565056500436005
average_token_length,0.04188395185168809
kw_avg_min,0.036175793214460523
n_unique_tokens,0.036106322385708434
num_videos,0.033791125915000934
n_non_stop_words,0.031334844799574255
kw_max_min,0.02873333240094981
kw_min_min,0.028398857177969253
num_self_hrefs,0.0282600415083278
timedelta,0.023000865699997017
n_tokens_content,0.022802181891533498
n_tokens_title,0.01992093577012979
kw_min_max,0.008863395602043337
kw_max_max,0.0022874600926066874
