feature,n_outliers,pct
kw_max_max,8505,23.84
num_imgs,6614,18.54
kw_min_max,4581,12.84
self_reference_min_shares,4388,12.3
kw_min_min,4218,11.82
shares,4080,11.43
self_reference_max_shares,3765,10.55
self_reference_avg_shares,3728,10.45
n_comments,3461,9.7
kw_max_min,3262,9.14
n_non_stop_words,2536,7.11
kw_max_avg,2150,6.03
num_hrefs,1899,5.32
kw_avg_min,1843,5.17
num_self_hrefs,1814,5.08
n_tokens_content,1705,4.78
n_non_stop_unique_tokens,1572,4.41
average_token_length,1513,4.24
kw_avg_avg,1466,4.11
num_videos,1464,4.1
n_unique_tokens,1460,4.09
kw_avg_max,864,2.42
n_tokens_title,140,0.39
num_keywords,49,0.14
timedelta,0,0.0
kw_min_avg,0,0.0
