feature,VIF,severity
self_reference_avg_shares,17.8,high (>10)
kw_avg_min,13.2,high (>10)
kw_max_min,13.1,high (>10)
n_non_stop_words,11.0,high (>10)
kw_avg_avg,8.4,moderate (5-10)
self_reference_max_shares,8.2,moderate (5-10)
kw_max_avg,6.1,moderate (5-10)
self_reference_min_shares,6.0,moderate (5-10)
average_token_length,5.7,moderate (5-10)
kw_max_max,4.3,low (<5)
kw_min_min,3.8,low (<5)
n_unique_tokens,3.8,low (<5)
n_non_stop_unique_tokens,3.3,low (<5)
kw_avg_max,3.0,low (<5)
kw_min_avg,2.1,low (<5)
num_hrefs,1.6,low (<5)
num_keywords,1.4,low (<5)
n_tokens_content,1.4,low (<5)
num_self_hrefs,1.3,low (<5)
kw_min_max,1.3,low (<5)
num_imgs,1.3,low (<5)
num_videos,1.1,low (<5)
n_tokens_title,1.0,low (<5)
